Date&Time	Username Customer_name
2022/11/20 19:42:07	Alvin	Alvin
2022/11/20 19:42:35	James	James
2022/12/10 14:51:59	Rutth	Rut
2022/12/10 14:53:35	Alvin	Alvin
2022/12/10 14:59:14	Alvin	Alvin
2022/12/10 15:10:27	Alvin	Alvin
2022/12/10 15:31:13	James	James
2022/12/10 16:55:10	Alvin	Alvin
2022/12/10 17:28:27	Alvin	Alvin
2022/12/10 17:29:02	Rutth	Rut
2022/12/12 10:15:00	James	James
2022/12/12 10:15:38	James	James
2022/12/14 22:46:19	James	James
2022/12/14 22:55:21	James	James
2022/12/15 12:28:58	James	James
2022/12/15 12:52:57	James	James
2022/12/15 12:54:24	James	James
2022/12/15 15:35:18	Alvin	Alvin
2022/12/15 15:36:56	Alvin	Alvin
2022/12/15 15:37:42	Alvin	Alvin
2022/12/15 15:45:13	Alvin	Alvin
